1. ¿De dónde nos visitas?,1.1 ¿De qué municipio del estado de Hidalgo perteneces?,2. ¿En qué rango de edad te encuentras?,3. ¿Con qué género te identificas?,4. ¿Con qué frecuencia realizas viajes dentro de México?,5. ¿Cuántas veces ha visitado alguno de los destinos turísticos de Hidalgo en los últimos 24 meses?,6. ¿Qué tanto te motiva principalmente a viajar los siguientes aspectos?,7. Los medios donde buscas inspiración para elegir destinos en Hidalgo.,8. En cuanto a la confianza y uso de las tecnologías indica tu nivel en que estas de acuerdo con las siguientes frases:,9. ¿Qué factor influye más en tu decisión de seguir una recomendación turística?,10. En una escala del 1 al 5 donde 1 es Nada valioso y 5 es Muy valioso ¿Cómo sería para ti que una app turística te recomiende comercios y experiencias locales auténticas?,"11. De una escala del 1 al 5 donde 1 es Totalmente en desacuerdo y 5 es Totalmente de acuerdo. Indica que tanto estás de acuerdo con la siguiente frase:  ""Me sentiría más confiado/a usando una app turística si sé que las recomendaciones están validadas por personas locales o por una institución oficial.”",12. ¿Qué tipo de información consideras más importante?,13. ¿Con qué frecuencia has enfrentado los siguientes problemas al viajar?,"14. En una escala del 1 al 5,  donde 1 es nada probable y 5 muy probable. ¿Qué tan probable es que uses una app oficial del estado de Hidalgo para planear y vivir tus viajes?",15. ¿Qué funciones consideras indispensables en una app de viajes?,16. ¿Qué haría que dejaras de usar una app turística? (Selecciona 3 opciones),"17. En una frase, ¿qué esperas de una app turística ideal para viajar en Hidalgo?"
"Hidalgo, México","Tula de Allende, Hidalgo, México",50–59 años,Mujer,Una vez al año,2 veces,Viaje Familiar,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Precio,5.0,5.0,Mapas y rutas,Recomendaciones poco confiables,5.0,Rutas sugeridas,Mala experiencia de uso,Confiabilidad 
"Hidalgo, México","Atotonilco de Tula, Hidalgo, México",40–49 años,Mujer,Varias veces al año,3 veces,Viaje Familiar,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Seguridad,Información desactualizada,5.0,Recomendaciones locales confiables,Información falsa o incompleta,Confiabilidad 
"Estado de México, México",,50–59 años,Hombre,Una vez al año,2 veces,Descanso / relajación,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Que se trate de una plataforma oficial,5.0,5.0,Horarios actualizados,Recomendaciones poco confiables,5.0,Rutas sugeridas,Información falsa o incompleta,Buenas recomendaciones 
"Hidalgo, México","Atotonilco de Tula, Hidalgo, México",50–59 años,Hombre,Esporádicamente,2 veces,Cultura / Historia,Redes Sociales,Me ayudan a ahorrar tiempo,Que se trate de una plataforma oficial,4.0,4.0,Mapas y rutas,Falta de información en el momento exacto,3.0,Información verificada,"Información falsa o incompleta, Exceso de publicidad, No confiar en las recomendaciones",Que sea real y con datos actuales 
"Ciudad de México, México",,30–39 años,Mujer,Una vez al año,2 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,4.0,4.0,Mapas y rutas,Información desactualizada,3.0,Rutas sugeridas,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",QUE SEA UNA APP SEGURA
"Estado de México, México",,,Hombre,Varias veces al año,3 veces,Descanso / relajación,Otro,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,3.0,3.0,Mapas y rutas,Demasiadas opciones sin guía,3.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Que tenga buena atencio
"Ciudad de México, México",,18–29 años,Hombre,Varias veces al año,4 veces o más,Cultura / Historia,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Falta de valor real, No confiar en las recomendaciones",Que tenga información verifica
"Hidalgo, México","Atotonilco de Tula, Hidalgo, México",30–39 años,Hombre,Muy rara vez,2 veces,Descanso / relajación,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,4.0,4.0,Mapas y rutas,Información desactualizada,3.0,Rutas sugeridas,"Información falsa o incompleta, Falta de valor real, Mala experiencia de uso",
"Hidalgo, México","Tula de Allende, Hidalgo, México",30–39 años,Mujer,Muy rara vez,1 vez,Descanso / relajación,Redes Sociales,Confío en sus recomendaciones,Precio,3.0,5.0,Seguridad,Recomendaciones poco confiables,2.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Confiable 
"Hidalgo, México","Mineral de la Reforma, Hidalgo, México",60 años o más,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Poca visibilidad de comercios locales,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",
"Estado de México, México",,18–29 años,Hombre,Varias veces al año,1 vez,Descanso / relajación,Google,Me ayudan a ahorrar tiempo,Precio,5.0,5.0,Mapas y rutas,Información desactualizada,4.0,Recomendaciones locales confiables,Exceso de publicidad,Eficiencia 
"Hidalgo, México","Mineral del Chico, Hidalgo, México",40–49 años,Mujer,Varias veces al año,3 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,4.0,4.0,Mapas y rutas,Información desactualizada,2.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Confiable 
"Estado de México, México",,30–39 años,Mujer,Muy rara vez,1 vez,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,4.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,Información falsa o incompleta,
"Ciudad de México, México",,30–39 años,Mujer,Varias veces al año,1 vez,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,,5,,
"Ciudad de México, México",,30–39 años,Hombre,Varias veces al año,2 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,4.0,Mapas y rutas,Información desactualizada,2.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Fuera certera
"Ciudad de México, México",,60 años o más,Mujer,Varias veces al año,1 vez,Descanso / relajación,Otro,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, No confiar en las recomendaciones, Mala experiencia de uso",Que sea confiable y verídica 
"Hidalgo, México","Emiliano Zapata, Hidalgo, México",30–39 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Recomendación local,4.0,5.0,Mapas y rutas,Falta de información en el momento exacto,4.0,Información verificada,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Seguridad 
"Hidalgo, México","Atotonilco de Tula, Hidalgo, México",50–59 años,Mujer,Una vez al año,1 vez,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Precio,5.0,5.0,Seguridad,Información desactualizada,3.0,Información verificada,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",
"Ciudad de México, México",,40–49 años,Mujer,Esporádicamente,2 veces,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,4.0,3.0,Mapas y rutas,Falta de información en el momento exacto,3.0,Información verificada,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",
"Estado de México, México",,30–39 años,Mujer,Una vez al año,2 veces,Gastronomía,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Recomendaciones poco confiables,4.0,Recomendaciones locales confiables,Falta de valor real,Indicaciones certeras de los caminos
"Estado de México, México",,30–39 años,Mujer,Varias veces al año,1 vez,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,3.0,3.0,Mapas y rutas,Información desactualizada,3.0,Rutas sugeridas,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Veridica
"Ciudad de México, México",,18–29 años,Mujer,Una vez al año,1 vez,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso","Segura y que tenga fotos reales  y promocion de,comercio loca,"
"Estado de México, México",,60 años o más,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, No confiar en las recomendaciones, Mala experiencia de uso",Que sea variada y confiable 
"Estado de México, México",,18–29 años,Mujer,Esporádicamente,3 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Precio,3.0,3.0,Mapas y rutas,Información desactualizada,3.0,Comercios y servicios cercanos,"Mala experiencia de uso, Falta de valor real, Exceso de publicidad",
"Hidalgo, México","Tulancingo de Bravo, Hidalgo, México",18–29 años,Hombre,Esporádicamente,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Exceso de publicidad, Mala experiencia de uso, Falta de valor real",Hotel precios comida
"Ciudad de México, México",,18–29 años,Hombre,Esporádicamente,1 vez,Descanso / relajación,Redes Sociales,La información suele ser clara y actualizada,Fotos reales,5.0,5.0,Mapas y rutas,Información desactualizada,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real, No confiar en las recomendaciones","Segura, buenos precios "
"Hidalgo, México","Tizayuca, Hidalgo, México",40–49 años,Hombre,,4 veces o más,Descanso / relajación,Recomendaciones de amigos / familia,Evito apps que parecen publicidad disfrazada,Opiniones de otros usuarios,3.0,4.0,Horarios actualizados,Demasiadas opciones sin guía,3.0,Información verificada,Mala experiencia de uso,Nq
"Hidalgo, México","Mineral de la Reforma, Hidalgo, México",30–39 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real, No confiar en las recomendaciones",Muchas opciones 
"Estado de México, México",,40–49 años,Mujer,Esporádicamente,3 veces,Naturaleza,Google,Me generan seguridad para tomar decisiones,Opiniones de otros usuarios,4.0,4.0,Seguridad,Información desactualizada,5.0,Recomendaciones locales confiables,"Exceso de publicidad, Mala experiencia de uso",Que tenga precios 
"Michoacán, México",,40–49 años,Hombre,Varias veces al año,1 vez,Naturaleza,Redes Sociales,Evito apps que parecen publicidad disfrazada,Cercanía / ubicación,3.0,4.0,Mapas y rutas,Información desactualizada,1.0,Rutas sugeridas,No confiar en las recomendaciones,Veracidad 
"Hidalgo, México","Pachuca de Soto, Hidalgo, México",18–29 años,Mujer,Una vez al año,2 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,3.0,3.0,Mapas y rutas,Información desactualizada,1.0,Rutas sugeridas,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Veracidad
"Estado de México, México",,50–59 años,Hombre,Varias veces al año,1 vez,4 veces o más,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,3.0,3.0,Horarios actualizados,Demasiadas opciones sin guía,5.0,Recomendaciones locales confiables,"Exceso de publicidad, Información falsa o incompleta, Falta de valor real","Recomendaciones reales, "
"Hidalgo, México","Ixmiquilpan, Hidalgo, México",18–29 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Evito apps que parecen publicidad disfrazada,Precio,4.0,5.0,Horarios actualizados,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real","Confiable, segura y verídica 
"
"Jalisco, México",,30–39 años,Mujer,Varias veces al año,3 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real, Exceso de publicidad",Que me de confianza que este actualizada 
"Ciudad de México, México",,30–39 años,Mujer,Esporádicamente,1 vez,Naturaleza,Recomendaciones de amigos / familia,Confío en sus recomendaciones,Opiniones de otros usuarios,3.0,4.0,Seguridad,Información desactualizada,4.0,Rutas sugeridas,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Información real
"Ciudad de México, México",,50–59 años,Mujer,Varias veces al año,2 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,Exceso de publicidad, Que sea amigable 
"Ciudad de México, México",,40–49 años,Mujer,Varias veces al año,1 vez,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Mapas y rutas,Demasiadas opciones sin guía,5.0,Recomendaciones locales confiables,"Mala experiencia de uso, Exceso de publicidad, Información falsa o incompleta",Confiable
"Estado de México, México",,40–49 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Una App que contengan toda la información 
"Ciudad de México, México",,40–49 años,Mujer,Varias veces al año,4 veces o más,Naturaleza,Redes Sociales,Confío en sus recomendaciones,Opiniones de otros usuarios,4.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Falta de valor real, Información falsa o incompleta, No confiar en las recomendaciones",Comida transporte
"Estado de México, México",,40–49 años,Mujer,Esporádicamente,1 vez,Aventura,Redes Sociales,Confío en sus recomendaciones,Fotos reales,5.0,5.0,Mapas y rutas,Demasiadas opciones sin guía,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Que sea seguro Y ACCESIBLES COSTOS 
"Hidalgo, México","Metztitlán, Hidalgo, México",18–29 años,Mujer,Esporádicamente,4 veces o más,Descanso / relajación,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,4.0,Información verificada,"Exceso de publicidad, Mala experiencia de uso, Información falsa o incompleta",Que sea segura y confiable 
"Estado de México, México",,18–29 años,Hombre,Esporádicamente,1 vez,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Precio,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,Falta de valor real,Que te den información real
"Estado de México, México",,18–29 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,Otro,Confío en sus recomendaciones,Opiniones de otros usuarios,4.0,3.0,Mapas y rutas,Información desactualizada,1.0,Comercios y servicios cercanos,Información falsa o incompleta,Imágenes del lugar
"Estado de México, México",,18–29 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Confío en sus recomendaciones,Opiniones de otros usuarios,5.0,3.0,Mapas y rutas,Información desactualizada,2.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad",Seguridad
"Hidalgo, México","Mineral de la Reforma, Hidalgo, México",18–29 años,Mujer,Muy rara vez,1 vez,4 veces o más,Redes Sociales,Me ayudan a ahorrar tiempo,Precio,5.0,4.0,Recomendaciones cercanas,Información desactualizada,3.0,Comercios y servicios cercanos,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Ayudar a encontrar buenos lugares 
"Ciudad de México, México",,60 años o más,Hombre,Varias veces al año,3 veces,Descanso / relajación,Redes Sociales,Evito apps que parecen publicidad disfrazada,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Que sea confiable y contenga mucha información 
"Veracruz de Ignacio de la Llave, México",,50–59 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Mapas y rutas,Poca visibilidad de comercios locales,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Confianza 
